TIC,Tmag,KIC,numax
123446465,10.4899,10515966,36.43
390129004,12.0402,6019408,144.86
390129050,11.4671,6099979,41.62
123447570,9.9077,9753178,29.87
123450362,12.1934,7939118,32.41
123450790,12.0274,7661370,9.43
123449503,10.6987,8475844,27.36
123450459,11.6897,7870556,218.62
48131516,9.9712,10711484,39.21
123451488,9.3712,7176070,8.09
123447128,11.0967,10055660,9.38
390130349,9.0073,5936874,33.47
123449524,10.0282,8475872,32.22
123447105,9.6176,10055674,43.88
123447241,12.1525,9993459,48.31
123446924,11.2843,10188458,21.3
123450584,11.8084,7801424,185.78
123447991,12.2956,9508757,180.63
123447151,11.091,10055700,36.38
123449964,9.8586,8145152,23.49
48131589,10.8655,10777816,211.41
123449397,10.4671,8540384,37.4
123449326,11.1442,8605197,109.93
123449655,10.4516,8411053,27.59
123450019,11.113,8145176,29.75
123446515,9.5505,10450924,7.21
123446533,10.9648,10450939,42.49
48188442,11.8257,11068380,79.66
48188243,12.0022,11175271,28.84
123449918,8.7871,8213032,54.18
123451866,11.626,6838665,30.17
123452887,10.217,6838707,33.34
123492964,11.5762,9631782,67.89
123489837,10.4971,7661609,22.71
123490661,11.1409,8145311,84.97
123490699,12.0445,8213138,59.28
123490748,11.848,8213145,28.96
123453397,12.3119,7258268,30.77
48188398,10.2542,11068521,35.12
123453671,10.685,7420223,35.58
123453219,11.3856,7093705,32.91
123493296,12.0584,9873628,145.7
123489743,11.9862,7585107,49.35
123492956,10.6086,9631844,49.94
390205721,8.5121,5853260,37.31
123489759,8.6855,7585122,39.54
123494063,10.1263,10386248,25.91
123491326,11.0606,8540615,48.2
123492685,10.6868,9447310,74.84
123494127,10.8052,10451213,8.81
123489811,9.3268,7661720,45.9
123490417,11.68,8008319,32.84
123494093,11.0186,10451228,43.51
390206279,10.6163,6262706,59.31
123493703,12.234,10121190,34.34
48188220,10.3489,11228549,55.07
48188213,11.1158,11228554,38.57
123489927,10.8588,7732836,35.73
390206019,12.243,6100524,86.08
123490226,11.5391,7870980,34.13
123493210,7.9782,9813798,47.2
123492847,11.1306,9570409,29.05
123491204,10.937,8540767,29.08
48189128,11.9112,10711922,29.15
48189911,11.5431,11228617,49.74
390205804,11.661,5937398,119.16
123497847,12.3713,8411446,28.45
123498522,9.907,8008399,50.83
123497589,11.9511,8540820,22.39
